               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.012616,           0.0041017,          0.00062285,             0.52161,             0.71276,             0.59743,             0.45328,            0.023183,           0.0064056,            0.072719,           0.0069805,           0.0069805,           0.0069805
                  63,            0.012377,           0.0040406,          0.00059935,             0.50366,             0.66279,             0.58722,             0.43961,             0.02385,           0.0064412,            0.074016,            0.006931,            0.006931,            0.006931
                  64,            0.012038,           0.0039611,          0.00092245,             0.50667,             0.68146,             0.59839,             0.45341,            0.023719,           0.0069152,            0.070848,           0.0068815,           0.0068815,           0.0068815
                  65,            0.011866,            0.003844,           0.0011752,             0.53127,             0.69023,             0.60417,             0.45904,            0.023692,           0.0072408,            0.070597,            0.006832,            0.006832,            0.006832
                  66,            0.012039,           0.0039858,          0.00075352,             0.52499,             0.66116,             0.61018,             0.45992,            0.024051,           0.0078044,            0.069194,           0.0067825,           0.0067825,           0.0067825
                  67,            0.011905,           0.0036893,            0.001004,             0.54621,              0.7038,             0.59194,             0.44759,             0.02403,           0.0075141,            0.065188,            0.006733,            0.006733,            0.006733
                  68,            0.011989,           0.0037371,            0.000763,             0.54945,             0.73974,             0.62488,             0.46864,            0.023851,           0.0072638,            0.059155,           0.0066835,           0.0066835,           0.0066835
                  69,            0.012097,           0.0037241,          0.00075635,             0.54995,             0.72299,             0.58045,             0.43777,            0.023918,           0.0077676,            0.066729,            0.006634,            0.006634,            0.006634
                  70,            0.012179,           0.0038999,          0.00060067,             0.51708,             0.64365,             0.56335,             0.42498,              0.0236,           0.0076709,            0.079295,           0.0065845,           0.0065845,           0.0065845
                  71,            0.011722,           0.0036264,          0.00041108,             0.52541,             0.69609,             0.58354,             0.43949,            0.023771,           0.0073057,            0.077247,            0.006535,            0.006535,            0.006535
                  72,            0.011706,            0.003794,          0.00062716,             0.52535,             0.67152,             0.57033,             0.42419,            0.023966,           0.0071422,             0.08141,           0.0064855,           0.0064855,           0.0064855
                  73,            0.011882,           0.0035933,          0.00052327,             0.53203,             0.69578,             0.56411,             0.41681,            0.024014,           0.0075707,            0.075957,            0.006436,            0.006436,            0.006436
                  74,            0.011185,           0.0036792,          0.00061557,             0.53686,              0.6086,             0.55006,             0.41236,            0.024351,           0.0079826,            0.091022,           0.0063865,           0.0063865,           0.0063865
                  75,            0.011691,            0.003682,          0.00081771,              0.5381,             0.70877,             0.60032,             0.44425,            0.024122,           0.0073862,            0.062536,            0.006337,            0.006337,            0.006337
                  76,             0.01178,           0.0037083,          0.00043608,              0.5575,             0.69249,             0.62214,             0.45765,            0.023531,           0.0068655,            0.058731,           0.0062875,           0.0062875,           0.0062875
                  77,            0.012085,           0.0039075,          0.00093086,             0.56929,             0.71934,              0.6269,             0.47229,            0.023783,           0.0072051,            0.074334,            0.006238,            0.006238,            0.006238
                  78,            0.011599,            0.003779,          0.00087014,             0.60083,             0.63573,              0.6319,             0.47621,             0.02308,           0.0066319,            0.062064,           0.0061885,           0.0061885,           0.0061885
                  79,            0.012189,           0.0038599,           0.0010084,              0.5241,             0.64778,             0.57394,             0.43512,            0.023186,           0.0069462,            0.073659,            0.006139,            0.006139,            0.006139
                  80,            0.011995,           0.0037364,           0.0011419,             0.54519,             0.70119,             0.59007,             0.44435,             0.02315,           0.0065925,            0.062675,           0.0060895,           0.0060895,           0.0060895
                  81,            0.011154,           0.0038449,          0.00085023,             0.51101,             0.71947,             0.58019,             0.43025,            0.023036,           0.0060936,            0.064353,             0.00604,             0.00604,             0.00604
                  82,            0.011708,            0.003947,           0.0011404,             0.52947,             0.70978,             0.60487,             0.45809,            0.023152,           0.0066812,            0.060712,           0.0059905,           0.0059905,           0.0059905
                  83,            0.011145,           0.0035607,           0.0011778,             0.54257,             0.70723,             0.62341,              0.4743,            0.023017,           0.0065058,            0.060957,            0.005941,            0.005941,            0.005941
                  84,            0.010995,            0.003615,          0.00085961,             0.63708,             0.64603,             0.65418,             0.49827,            0.023058,           0.0066592,            0.055079,           0.0058915,           0.0058915,           0.0058915
                  85,            0.011615,           0.0037843,          0.00073746,             0.55965,             0.71164,             0.65246,             0.48991,            0.023019,           0.0068887,            0.068778,            0.005842,            0.005842,            0.005842
                  86,             0.01217,           0.0038846,          0.00064699,             0.54084,             0.69865,             0.62252,              0.4783,            0.023669,           0.0073379,            0.062269,           0.0057925,           0.0057925,           0.0057925
                  87,            0.011088,           0.0036692,            0.001482,             0.59483,              0.7151,              0.6438,             0.48308,            0.024339,           0.0076943,            0.064164,            0.005743,            0.005743,            0.005743
                  88,            0.010709,            0.003529,           0.0010784,              0.5329,             0.67319,             0.63194,             0.48247,            0.023724,            0.007756,            0.072352,           0.0056935,           0.0056935,           0.0056935
                  89,            0.011044,           0.0039117,          0.00089149,             0.54269,             0.71046,             0.62262,             0.47358,            0.022887,           0.0070957,            0.065901,            0.005644,            0.005644,            0.005644
                  90,            0.011575,            0.003727,          0.00078588,             0.51448,             0.64682,             0.58267,             0.44115,            0.023132,           0.0075079,             0.07769,           0.0055945,           0.0055945,           0.0055945
                  91,             0.01088,           0.0036584,          0.00091856,             0.55477,             0.68666,             0.60556,             0.45715,            0.023558,           0.0079436,            0.067792,            0.005545,            0.005545,            0.005545
                  92,            0.011029,           0.0035737,          0.00087618,             0.53386,             0.72048,              0.5929,             0.44456,            0.023184,           0.0070749,             0.06696,           0.0054955,           0.0054955,           0.0054955
                  93,            0.011326,           0.0037148,          0.00086496,             0.54726,             0.73597,             0.63227,              0.4722,            0.022882,           0.0066996,            0.061483,            0.005446,            0.005446,            0.005446
                  94,            0.011158,           0.0035667,          0.00067159,             0.55751,             0.71772,             0.63246,             0.47237,            0.023384,            0.007216,            0.055223,           0.0053965,           0.0053965,           0.0053965
                  95,            0.010883,           0.0036404,           0.0007547,             0.51899,             0.69457,             0.60821,             0.44789,            0.023664,           0.0066609,            0.076617,            0.005347,            0.005347,            0.005347
                  96,            0.010697,           0.0035681,          0.00081956,             0.56133,             0.66954,             0.61696,             0.46398,             0.02326,           0.0067727,            0.076833,           0.0052975,           0.0052975,           0.0052975
                  97,            0.011114,           0.0036334,          0.00094772,             0.55108,             0.70925,             0.65055,             0.48447,            0.023389,           0.0067569,            0.069886,            0.005248,            0.005248,            0.005248
                  98,            0.010674,           0.0035882,          0.00080212,             0.52601,             0.72697,             0.61582,             0.45784,            0.022757,           0.0064148,            0.068944,           0.0051985,           0.0051985,           0.0051985
                  99,            0.010601,           0.0035591,          0.00087255,             0.53274,             0.72352,              0.6053,              0.4465,            0.023369,           0.0065381,            0.069311,            0.005149,            0.005149,            0.005149
                 100,            0.010854,           0.0036591,          0.00079954,             0.52237,             0.69999,             0.59183,             0.43464,             0.02358,           0.0068569,            0.067236,           0.0050995,           0.0050995,           0.0050995
                 101,            0.010482,           0.0034788,          0.00070019,             0.54552,              0.7218,             0.60922,             0.45025,            0.023194,           0.0065878,            0.063779,             0.00505,             0.00505,             0.00505
                 102,            0.010777,           0.0036685,          0.00057004,             0.57674,             0.73026,             0.63496,              0.4677,            0.023361,             0.00655,            0.058581,           0.0050005,           0.0050005,           0.0050005
                 103,            0.010468,           0.0034518,          0.00050632,             0.54825,             0.68062,              0.6008,             0.45497,            0.023465,            0.007265,            0.077634,            0.004951,            0.004951,            0.004951
                 104,            0.010436,           0.0035449,          0.00051266,             0.59898,             0.68461,             0.64651,             0.47839,            0.023086,           0.0067327,            0.062851,           0.0049015,           0.0049015,           0.0049015
                 105,            0.010565,           0.0035534,          0.00089889,              0.5619,              0.7085,             0.65165,             0.49378,            0.022884,             0.00671,            0.072249,            0.004852,            0.004852,            0.004852
                 106,            0.010136,           0.0033323,          0.00050577,             0.52697,             0.65425,              0.6086,             0.45853,            0.023688,           0.0076793,            0.075078,           0.0048025,           0.0048025,           0.0048025
                 107,            0.010375,           0.0034853,          0.00067502,             0.55207,             0.69451,             0.62206,             0.46564,            0.023749,           0.0074838,            0.069668,            0.004753,            0.004753,            0.004753
                 108,             0.01048,           0.0035631,          0.00053177,              0.5321,             0.73599,             0.60978,             0.44789,            0.023568,           0.0067025,            0.063676,           0.0047035,           0.0047035,           0.0047035
                 109,            0.010248,           0.0034791,          0.00060534,             0.51268,             0.66928,             0.55738,             0.41579,             0.02364,           0.0068324,            0.081839,            0.004654,            0.004654,            0.004654
                 110,            0.010071,           0.0036654,          0.00056525,              0.5266,             0.70499,             0.58586,             0.43636,            0.023546,           0.0072303,            0.071022,           0.0046045,           0.0046045,           0.0046045
                 111,            0.010368,           0.0034967,           0.0003418,             0.52466,             0.69025,             0.57846,             0.42562,             0.02396,           0.0073053,            0.072782,            0.004555,            0.004555,            0.004555
                 112,            0.010087,           0.0032464,          0.00051539,             0.53222,             0.67214,             0.59395,             0.44125,            0.023844,           0.0076598,            0.078083,           0.0045055,           0.0045055,           0.0045055
                 113,            0.010227,           0.0034824,          0.00054151,             0.53787,             0.70201,             0.62338,             0.46828,            0.023291,           0.0068643,            0.077192,            0.004456,            0.004456,            0.004456
                 114,            0.010091,           0.0035569,          0.00078814,             0.52728,             0.72149,             0.59539,             0.43766,             0.02383,           0.0069073,            0.071038,           0.0044065,           0.0044065,           0.0044065
